#{"t_start": 1671536172.329341, "env_id": null}
r,l,t
-1086.449967,200,328.793601
1415.323254,200,329.153482
1467.233989,200,329.517158
1456.545991,200,329.876359
1524.74797,200,330.236104
1428.657421,200,331.224166
1453.96856,200,331.586417
1536.910279,200,331.945127
1464.016488,200,332.305391
1464.090731,200,332.667128
-1222.375852,200,333.027685
1488.013613,200,333.3884
1460.510475,200,333.750259
1478.14497,200,334.106547
1453.375139,200,334.467729
-1229.162041,200,335.444653
1456.891451,200,335.803734
1529.555197,200,336.162297
1415.847354,200,336.524195
-1183.222887,200,336.887984
1467.772162,200,337.24619
1483.017431,200,337.608632
1447.837105,200,337.979648
1477.720665,200,338.339325
1430.717475,200,338.700505
1464.995716,200,339.670221
1464.394339,200,340.02002
1486.369075,200,340.390793
-1150.32631,200,340.754499
1434.14513,200,341.110664
-1257.075184,200,341.503423
1463.554407,200,341.864928
1437.087465,200,342.223844
1460.863361,200,342.58081
1469.789185,200,342.955081
1424.727794,200,343.316955
1452.861325,200,344.280118
1449.952247,200,344.644676
-1054.258258,200,345.004151
-1157.2988,200,345.369213
1454.526724,200,345.730168
1454.792797,200,346.098618
1452.060765,200,346.452562
-1128.634817,200,346.812531
1413.529187,200,347.172936
1445.436253,200,347.536731
1477.651154,200,348.509388
1433.29597,200,348.874243
1447.912472,200,349.234375
1460.545598,200,349.59428
1447.115872,200,349.965589
1437.578896,200,350.31597
1550.674073,200,350.672561
1418.998502,200,351.03429
1466.592254,200,351.39383
1453.150621,200,351.751483
1399.063424,200,352.709687
1466.74375,200,353.068223
1463.730181,200,353.428369
1474.645351,200,353.788412
1485.8794,200,354.152263
1458.027601,200,354.508173
1453.350038,200,354.868182
1456.313326,200,355.23253
-1066.139392,200,355.592692
-1115.277798,200,355.953515
-1083.899663,200,356.933928
1474.763022,200,357.317608
1458.260575,200,357.676098
1446.681497,200,358.040587
1463.013714,200,358.405046
1462.053495,200,358.768038
1461.272782,200,359.125193
-1062.066938,200,359.495813
1417.768563,200,359.852251
1441.982664,200,360.213296
1519.259771,200,360.573285
1435.550519,200,361.559684
-1216.538487,200,361.924042
1466.394684,200,362.286426
1396.443203,200,362.645107
1503.130056,200,363.009604
1423.382914,200,363.371369
1460.587177,200,363.737929
1439.060085,200,364.099428
1488.824487,200,364.459324
1494.423207,200,364.824949
1447.024765,200,365.809966
1433.373064,200,366.168247
1480.701588,200,366.529313
1453.33697,200,366.888595
1457.537403,200,367.246193
1455.451598,200,367.605362
1460.548142,200,367.968176
-1224.395576,200,368.329772
1462.890136,200,368.68749
1466.096673,200,369.048969
1452.859238,200,370.034884
1451.946048,200,370.394662
1479.515769,200,370.754925
1465.5694,200,371.112851
1460.573279,200,371.463692
1463.99678,200,371.823297
-1186.381268,200,372.184561
1452.437432,200,372.543567
1436.868153,200,372.903037
1471.446993,200,373.263403
1468.689928,200,374.240052
1473.622178,200,374.600511
1462.094901,200,374.95993
1453.761974,200,375.319869
-1003.656943,200,375.684726
-1115.729082,200,376.047942
1505.435636,200,376.40595
-1159.770841,200,376.77079
1414.947128,200,377.129183
1462.930896,200,377.48943
1501.639951,200,377.864433
1480.223865,200,378.83998
1482.594549,200,379.204273
1401.729493,200,379.563615
1510.084158,200,379.928506
1451.614502,200,380.322416
1439.046798,200,380.684479
1472.124136,200,381.04318
-1182.282698,200,381.403655
1477.435628,200,381.753925
1414.309361,200,382.113455
1477.222883,200,383.201658
-1165.922316,200,383.564447
1477.567166,200,383.924477
1513.436437,200,384.284779
-1188.296374,200,384.646194
1450.016892,200,384.991146
1460.558353,200,385.344256
-1185.814751,200,385.699307
1441.831198,200,386.045004
1464.797683,200,386.406197
1439.319847,200,387.378062
