#{"t_start": 1673606808.345397, "env_id": null}
r,l,t
1508.0748,100,47.418157
1476.450417,100,47.451616
1505.685136,100,47.486577
1506.892227,100,47.526757
1517.762968,100,47.563215
1512.975196,100,47.597325
1500.993279,100,47.636302
1488.130561,100,47.675144
1523.604437,100,47.707479
1502.740963,100,47.748127
1507.904697,100,47.787438
1498.010671,100,47.821292
1501.256617,100,47.863101
1510.944784,100,47.896251
1487.340202,100,47.93008
1516.051038,100,47.969111
1480.261474,100,48.442087
1508.522159,100,48.477014
1510.873388,100,48.511817
1493.425964,100,48.551439
1524.932595,100,48.585831
1508.352055,100,48.618583
1514.72288,100,48.658245
1473.57496,100,48.691755
1523.000891,100,48.725788
1515.60368,100,48.765698
1478.027997,100,48.80013
1498.962867,100,48.838488
1507.037813,100,48.873378
1513.106865,100,48.906644
1488.921542,100,48.941959
1489.030406,100,48.977163
1481.010605,100,49.009752
1514.289438,100,49.051685
1510.269842,100,49.088951
1471.061435,100,49.121143
1441.993393,100,49.157387
1502.307521,100,49.191036
1510.063984,100,49.223764
1482.985872,100,49.267829
1478.315107,100,49.302073
1490.104115,100,49.337468
1504.804336,100,49.377373
1495.245044,100,49.412008
1497.577229,100,49.450291
1469.745479,100,49.489076
1531.882447,100,49.529178
1497.332936,100,49.562335
1498.589698,100,49.59995
1515.024653,100,49.635383
1524.485237,100,49.669929
1494.91031,100,49.705174
1487.305528,100,49.743446
1471.798696,100,49.791651
1518.849626,100,49.824883
1511.754188,100,49.864974
1468.228172,100,50.299176
1503.849346,100,50.333013
1501.426721,100,50.370188
1471.196864,100,50.403337
1501.256617,100,50.438874
1503.174405,100,50.472306
1514.868465,100,50.509738
1498.458029,100,50.542698
1500.880655,100,50.580338
1506.590454,100,50.612262
1529.215529,100,50.648252
1489.068841,100,50.682965
1504.370894,100,50.719784
1492.978606,100,50.753173
1517.25813,100,50.789807
1520.372407,100,50.823018
1505.106109,100,50.860492
1521.541063,100,50.894817
1479.738213,100,50.93772
1494.871875,100,50.973556
1503.188321,100,51.01459
1533.970339,100,51.050843
1486.556396,100,51.092818
1522.869222,100,51.126159
1496.710345,100,51.162496
1508.823931,100,51.194809
1523.000891,100,51.232952
1479.380674,100,51.263836
1479.908317,100,51.294992
1501.426721,100,51.339345
1535.430166,100,51.372405
1461.146651,100,51.403444
1512.805092,100,51.440552
1500.847693,100,51.475353
1512.936761,100,51.507788
1516.786253,100,51.553757
1514.72288,100,51.586185
1517.968826,100,51.623099
1507.976092,100,51.660252
1496.150363,100,51.692316
1481.694435,100,51.733526
1516.654584,100,52.205036
1499.810706,100,52.245162
1507.602924,100,52.280793
1506.214492,100,52.316582
1485.652791,100,52.355
1509.690815,100,52.391426
1512.975196,100,52.425441
1484.338549,100,52.468801
1504.017737,100,52.501928
1521.988422,100,52.538443
1476.662371,100,52.576822
1491.941618,100,52.611517
1505.709654,100,52.65085
1497.803099,100,52.686027
1493.629029,100,52.72043
1515.472011,100,52.760379
1512.055961,100,52.796515
1530.398102,100,52.831757
1493.799133,100,52.872486
1523.881691,100,52.904866
1513.106865,100,52.941074
1498.854003,100,52.982664
1508.25882,100,53.017688
1503.188321,100,53.057905
1516.824688,100,53.096303
1497.199553,100,53.131318
1514.157769,100,53.173563
1527.152155,100,53.207757
1494.834407,100,53.24596
1519.151399,100,53.282757
1517.837157,100,53.319443
1505.78105,100,53.357759
1515.472011,100,53.392633
1513.817561,100,53.425278
1533.366793,100,53.464465
1502.307521,100,53.500116
1486.289298,100,53.533325
1543.12915,100,53.575239
1495.546817,100,53.609961
1508.579638,100,53.647944
1511.150643,100,53.683465
1512.936761,100,54.151672
1499.866472,100,54.186731
1538.097085,100,54.219016
1528.334728,100,54.258423
1543.12915,100,54.291336
1488.488101,100,54.323719
1515.000134,100,54.361111
1492.771034,100,54.395156
1494.02951,100,54.433157
1514.566693,100,54.467693
1528.334728,100,54.499901
1512.503319,100,54.5365
1506.118578,100,54.570806
1489.802343,100,54.603296
1499.602167,100,54.64069
1533.668566,100,54.674682
1529.517301,100,54.706934
1512.805092,100,54.748804
1510.511342,100,54.782419
1512.226065,100,54.819352
1514.421107,100,54.85881
1505.446316,100,54.89266
1516.48448,100,54.925115
1525.969582,100,54.963501
1528.913756,100,54.995335
1530.699874,100,55.034608
1476.058825,100,55.068971
1504.730146,100,55.101735
1479.776648,100,55.140953
1498.589698,100,55.174074
1485.219349,100,55.206523
1498.104872,100,55.247653
1492.771034,100,55.281173
1519.90053,100,55.313775
1522.120091,100,55.352206
1493.859406,100,55.389006
1498.458029,100,55.432555
1516.654584,100,55.468573
1499.193244,100,55.507635
1496.526325,100,55.553954
1496.657994,100,55.586605
1539.279658,100,56.043456
1511.452415,100,56.075789
1526.850383,100,56.108171
1497.501326,100,56.146717
1525.234368,100,56.177744
1521.686649,100,56.211751
1490.311687,100,56.255785
1508.522159,100,56.289043
1507.471255,100,56.325146
1494.062471,100,56.358499
1501.295052,100,56.3914
1522.120091,100,56.427322
1499.566412,100,56.463297
1510.741719,100,56.503829
1513.238534,100,56.542199
1504.093639,100,56.575078
1516.051038,100,56.607849
1515.976849,100,56.642892
1499.566412,100,56.679035
1511.018974,100,56.712697
1506.420351,100,56.746475
1523.170995,100,56.783427
1531.882447,100,56.816435
1512.333216,100,56.848727
1503.08117,100,56.881243
1535.731939,100,56.919905
1540.764004,100,56.954042
1527.152155,100,56.98691
1492.805709,100,57.032601
1519.151399,100,57.065016
1517.088026,100,57.101099
1520.056718,100,57.135401
1502.872632,100,57.168327
1517.968826,100,57.213165
1511.246557,100,57.246825
1515.905453,100,57.279563
1503.114131,100,57.317108
1519.754945,100,57.349322
1485.724187,100,57.383222
1475.470909,100,57.419749
1517.233611,100,57.452413
1524.485237,100,57.900028
1510.741719,100,57.935112
1512.805092,100,57.975825
1516.786253,100,58.009568
1493.072807,100,58.046543
1511.924292,100,58.079625
1481.8975,100,58.117058
1511.057408,100,58.153152
1520.937518,100,58.188097
1526.850383,100,58.224869
1455.61413,100,58.258094
1512.333216,100,58.294584
1508.823931,100,58.328367
1518.210326,100,58.366112
1489.708141,100,58.399734
1501.182427,100,58.435462
1518.040222,100,58.470641
1511.320746,100,58.519151
1513.38412,100,58.55485
1486.497837,100,58.588485
1521.818318,100,58.624259
1516.352811,100,58.65872
1528.032956,100,58.693511
1520.635745,100,58.728549
1484.677043,100,58.769398
1492.61656,100,58.806984
1502.43919,100,58.843375
1518.572372,100,58.876903
1540.462231,100,58.914762
1521.818318,100,58.947618
1513.238534,100,58.988067
1504.356978,100,59.026001
1515.170238,100,59.060572
1508.9556,100,59.098581
1496.823591,100,59.134422
1507.023896,100,59.171953
1529.215529,100,59.210886
1510.439946,100,59.252397
1515.301907,100,59.288071
1513.685892,100,59.331521
1523.881691,100,59.365492
1505.106109,100,59.8503
1508.277865,100,59.891906
1501.55839,100,59.935658
1523.302664,100,59.969861
1513.987665,100,60.012318
1467.9264,100,60.046788
1501.182427,100,60.09095
1512.936761,100,60.126278
1518.13893,100,60.159959
1515.170238,100,60.196023
1509.389042,100,60.229342
1515.905453,100,60.265902
1516.051038,100,60.29857
1520.333972,100,60.335427
1531.580675,100,60.370147
1529.517301,100,60.406848
1509.158665,100,60.440283
1508.881411,100,60.477537
1527.152155,100,60.51141
1524.051795,100,60.549127
1517.389799,100,60.590198
1513.913476,100,60.62591
1525.969582,100,60.661362
1519.754945,100,60.696257
1509.010286,100,60.740281
1504.540998,100,60.773678
1523.604437,100,60.811229
1500.617316,100,60.844109
1522.699118,100,60.882864
1523.302664,100,60.921295
1510.873388,100,60.95831
1522.265676,100,60.993719
1524.353568,100,61.035684
1509.559146,100,61.076629
1506.906144,100,61.111706
1509.460438,100,61.14892
1521.818318,100,61.187567
1496.150363,100,61.227473
1506.327116,100,61.261421
1512.357734,100,61.298541
1514.72288,100,61.337653
1468.131178,100,61.797366
1516.956357,100,61.834249
1514.289438,100,61.874535
1508.748029,100,61.911366
1493.727737,100,61.945079
1516.786253,100,61.981451
1512.936761,100,62.015376
1492.879898,100,62.052858
1507.471255,100,62.091418
1502.944028,100,62.129903
1515.170238,100,62.165734
1506.892227,100,62.204027
1507.410982,100,62.240572
1510.006504,100,62.277755
1482.745339,100,62.312025
1515.60368,100,62.347005
1519.151399,100,62.386519
1498.104872,100,62.422887
1513.685892,100,62.463312
1516.182707,100,62.497696
1517.101942,100,62.535749
1505.106109,100,62.569343
1511.71672,100,62.605841
1502.835164,100,62.638519
1522.567449,100,62.678339
1519.754945,100,62.710647
1518.874145,100,62.747916
1535.731939,100,62.780278
1488.221002,100,62.816056
1517.837157,100,62.849707
1510.269842,100,62.886559
1534.549366,100,62.919817
1514.119334,100,62.958498
1513.238534,100,62.991356
1514.794276,100,63.028531
1476.771235,100,63.07012
1510.571615,100,63.103981
1498.685612,100,63.144752
1545.192523,100,63.180084
1491.941618,100,63.22059
1526.115168,100,63.258219
1531.001647,100,63.699327
1516.654584,100,63.736878
1513.913476,100,63.773504
1511.924292,100,63.807736
1498.382126,100,63.844213
1516.956357,100,63.878227
1526.850383,100,63.915189
1508.447969,100,63.948853
1508.653828,100,63.984257
1523.000891,100,64.017216
1484.940382,100,64.054195
1510.571615,100,64.088662
1514.119334,100,64.122202
1506.684656,100,64.15921
1493.651834,100,64.202753
1517.535384,100,64.238218
1517.667053,100,64.270897
1497.031163,100,64.309081
1507.471255,100,64.342279
1503.660198,100,64.377709
1497.803099,100,64.427781
1497.728909,100,64.462234
1533.06502,100,64.496647
1522.869222,100,64.535638
1486.401922,100,64.570256
1485.991285,100,64.604548
1510.138173,100,64.643825
1493.483444,100,64.67846
1518.270599,100,64.71316
1511.622519,100,64.752685
1520.032199,100,64.784813
1526.850383,100,64.818965
1496.320466,100,64.85424
1537.216285,100,64.892967
1520.937518,100,64.93725
1510.643011,100,64.97122
1509.257373,100,65.003964
1479.025803,100,65.042216
1519.453172,100,65.078587
1513.30993,100,65.113715
1514.360834,100,65.155491
1515.472011,100,65.594001
1477.579892,100,65.631514
1500.578882,100,65.665115
1516.278622,100,65.697463
1490.853246,100,65.741402
1525.66781,100,65.776798
1526.718714,100,65.810288
1524.183464,100,65.84926
1529.08386,100,65.895692
1498.891471,100,65.945607
1482.029169,100,65.985401
1488.695672,100,66.017879
1527.453928,100,66.065088
1522.290194,100,66.098324
1523.302664,100,66.131195
1531.580675,100,66.171607
1519.826341,100,66.211142
1534.549366,100,66.243142
1505.103315,100,66.27564
1497.501326,100,66.314632
1514.119334,100,66.347044
1485.373823,100,66.379553
1484.638609,100,66.418217
1511.320746,100,66.451186
1502.666773,100,66.485204
1526.271355,100,66.52369
1519.623276,100,66.557296
1517.159422,100,66.589964
1513.238534,100,66.627661
1504.730146,100,66.661541
1521.818318,100,66.693772
1495.004511,100,66.733012
1532.18422,100,66.766377
1504.165035,100,66.799294
1522.397345,100,66.838635
1520.202303,100,66.878314
1504.017737,100,66.914899
1519.754945,100,66.955053
1529.215529,100,66.993736
1498.458029,100,67.035234
1516.48448,100,67.067225
1489.949641,100,67.521302
1518.13893,100,67.558491
1504.296704,100,67.591584
1519.453172,100,67.629275
1516.956357,100,67.662905
1509.630542,100,67.695966
1531.882447,100,67.736015
1526.54861,100,67.769882
1503.451659,100,67.804777
1519.151399,100,67.845636
1494.062471,100,67.87953
1505.912719,100,67.916843
1503.042736,100,67.952939
1516.278622,100,67.988929
1494.364244,100,68.027851
1520.937518,100,68.062592
1496.753908,100,68.095859
1517.088026,100,68.134925
1545.796069,100,68.168785
1533.945821,100,68.203083
1520.333972,100,68.24526
1522.567449,100,68.283559
1523.604437,100,68.321919
1523.37406,100,68.356731
1517.535384,100,68.400823
1518.270599,100,68.455886
1500.880655,100,68.491742
1505.237778,100,68.531701
1505.333692,100,68.567752
1528.636501,100,68.599974
1512.673423,100,68.63806
1513.008157,100,68.670193
1526.850383,100,68.70284
1497.332936,100,68.749241
1532.18422,100,68.780905
1530.096329,100,68.81869
1500.447213,100,68.852094
1519.321503,100,68.88537
1541.644804,100,68.921785
1522.120091,100,68.955173
1465.127812,100,68.993183
1517.535384,100,69.441331
1502.835164,100,69.479094
1489.393419,100,69.512933
1503.584295,100,69.551832
1518.717957,100,69.584647
1487.305528,100,69.620481
1523.881691,100,69.65433
1506.590454,100,69.688642
1524.485237,100,69.730495
1512.42913,100,69.765881
1518.572372,100,69.798612
1516.786253,100,69.836809
1525.969582,100,69.871237
1506.892227,100,69.904538
1534.851139,100,69.943595
1517.461195,100,69.982614
1508.050282,100,70.020162
1525.66781,100,70.055439
1530.699874,100,70.088512
1518.717957,100,70.127105
1535.430166,100,70.161257
1536.612739,100,70.198222
1508.785497,100,70.232033
1488.921542,100,70.27123
1510.944784,100,70.314196
1513.106865,100,70.346584
1536.914512,100,70.379366
1515.000134,100,70.416321
1514.736796,100,70.449911
1508.146196,100,70.481976
1521.988422,100,70.520517
1505.20031,100,70.55444
1521.686649,100,70.587002
1500.168245,100,70.623986
1518.007261,100,70.657321
1500.823175,100,70.690611
1499.26464,100,70.733839
1505.78105,100,70.772737
1525.66781,100,70.80762
1513.817561,100,70.842246
1518.13893,100,70.879536
1531.580675,100,71.333478
1524.485237,100,71.367392
1512.730903,100,71.402588
1546.375096,100,71.444067
1515.170238,100,71.476279
1515.170238,100,71.52158
1523.072287,100,71.55861
1508.000611,100,71.590272
1522.567449,100,71.636816
1531.580675,100,71.669761
1517.968826,100,71.705544
1533.814152,100,71.740891
1509.534628,100,71.774369
1517.159422,100,71.812424
1507.471255,100,71.850243
1540.764004,100,71.882926
1507.339586,100,71.923691
1537.216285,100,71.957178
1507.397065,100,71.990361
1538.977885,100,72.030358
1530.398102,100,72.062631
1519.01973,100,72.094468
1527.152155,100,72.131796
1517.461195,100,72.167658
1513.611703,100,72.210768
1500.244148,100,72.248284
1534.247593,100,72.280247
1524.485237,100,72.31721
1527.152155,100,72.352289
1516.278622,100,72.384858
1516.654584,100,72.425225
1507.565456,100,72.458027
1523.302664,100,72.491978
1515.170238,100,72.532163
1520.032199,100,72.565196
1480.885031,100,72.597569
1513.30993,100,72.636363
1498.104872,100,72.675123
1513.817561,100,72.707269
1524.353568,100,72.755741
1535.430166,100,72.788945
1496.922299,100,73.241479
1479.715408,100,73.278306
1527.901287,100,73.312968
1515.675076,100,73.35147
1510.138173,100,73.386222
1522.493259,100,73.423895
1518.717957,100,73.460896
1492.771034,100,73.496774
1525.66781,100,73.533576
1519.189834,100,73.567455
1540.160458,100,73.603732
1538.977885,100,73.637412
1536.033712,100,73.673923
1492.860853,100,73.709296
1529.385632,100,73.74818
1488.488101,100,73.789215
1507.918613,100,73.824625
1497.105352,100,73.859579
1494.123711,100,73.895821
1479.832414,100,73.931685
1509.257373,100,73.967575
1497.199553,100,74.010563
1501.954364,100,74.044118
1532.763248,100,74.081417
1535.128394,100,74.114479
1515.170238,100,74.152489
1524.78701,100,74.186216
1510.887305,100,74.224687
1519.623276,100,74.263164
1531.580675,100,74.298743
1504.428373,100,74.334416
1505.309174,100,74.369216
1496.427617,100,74.410916
1513.817561,100,74.446252
1522.120091,100,74.484416
1529.517301,100,74.517711
1530.699874,100,74.553768
1516.352811,100,74.596606
1503.136937,100,74.630456
1535.731939,100,74.669281
1515.60368,100,74.703593
1505.479277,100,75.131812
1504.017737,100,75.170592
1526.850383,100,75.204597
1516.352811,100,75.25473
1529.215529,100,75.287405
1530.266433,100,75.324232
1519.826341,100,75.359246
1521.686649,100,75.399453
1529.08386,100,75.440416
1515.773784,100,75.472705
1520.635745,100,75.508585
1526.850383,100,75.54343
1510.944784,100,75.579071
1504.730146,100,75.617437
1496.018694,100,75.650748
1539.581431,100,75.682999
1518.13893,100,75.721444
1514.868465,100,75.7545
1534.247593,100,75.787269
1529.385632,100,75.821442
1505.723571,100,75.855577
1499.193244,100,75.893885
1517.461195,100,75.93498
1527.453928,100,75.968034
1531.580675,100,76.017853
1519.151399,100,76.051354
1515.301907,100,76.084351
1520.635745,100,76.12524
1549.343788,100,76.163664
1525.66781,100,76.194644
1504.017737,100,76.235352
1527.599514,100,76.268107
1516.145239,100,76.300979
1495.437953,100,76.339977
1524.051795,100,76.375006
1533.366793,100,76.406293
1518.717957,100,76.452289
1531.580675,100,76.485669
1507.471255,100,76.523435
1530.699874,100,76.557557
1526.416941,100,76.591015
1508.748029,100,77.020701
1529.687405,100,77.055547
1526.718714,100,77.092103
1519.151399,100,77.127872
1506.867709,100,77.163103
1524.051795,100,77.195692
1505.85524,100,77.236455
1544.311723,100,77.272286
1511.150643,100,77.305158
1503.136937,100,77.343374
1514.289438,100,77.377907
1528.032956,100,77.410862
1519.01973,100,77.448388
1488.61977,100,77.485476
1497.803099,100,77.522529
1526.718714,100,77.566334
1502.533391,100,77.614582
1527.152155,100,77.654
1531.580675,100,77.692127
1534.549366,100,77.741886
1520.032199,100,77.787735
1517.535384,100,77.824255
1504.672667,100,77.86568
1519.392899,100,77.90872
1530.266433,100,77.942956
